time,type,id,x,y,z,v
0,c,1,-16.48,12.66,0,0
0,p,1,-1.69381,3.05983,0,0
0,p,2,2.99074,-4.90309,0,0
0,c,2,-33.86,28.27,0,0
0.08,c,1,-16.29,12.51,0,0
0.08,p,1,-1.5902,3.12255,0,0
0.08,p,2,2.8711,-4.83358,0,0
0.08,c,2,-33.74,28.2,0,0
0.16,c,1,-16.18,12.42,0,0
0.16,p,1,-1.48658,3.19314,0,0
0.16,p,2,2.76868,-4.75632,0,0
0.16,c,2,-33.56,28.09,0,0
0.24,c,1,-15.97,12.23,0,0
0.24,p,1,-1.37966,3.26056,0,0
0.24,p,2,2.67966,-4.66211,0,0
0.24,c,2,-33.39,27.99,0,0
0.32,c,1,-15.91,12.2,0,0
0.32,p,1,-1.28761,3.31,0,0
0.32,p,2,2.59461,-4.55725,0,0
0.32,c,2,-33.41,27.69,0,0
0.4,c,1,-15.66,11.99,0,0
0.4,p,1,-1.16726,3.38828,0,0
0.4,p,2,2.50951,-4.43626,0,0
0.4,c,2,-33.25,27.57,0,0
0.48,c,1,-15.47,11.84,0,0
0.48,p,1,-1.0463,3.48881,0,0
0.48,p,2,2.4289,-4.31329,0,0
0.48,c,2,-33.08,27.48,0,0
0.56,c,1,-15.51,11.84,0,0
0.56,p,1,-0.96301,3.57339,0,0
0.56,p,2,2.3431,-4.21654,0,0
0.56,c,2,-32.91,27.38,0,0
0.64,c,1,-15.31,11.7,0,0
0.64,p,1,-0.91102,3.64872,0,0
0.64,p,2,2.25577,-4.13545,0,0
0.64,c,2,-32.78,27.29,0,0
0.72,c,1,-15.15,11.58,0,0
0.72,p,1,-0.85127,3.74478,0,0
0.72,p,2,2.16242,-4.0667,0,0
0.72,c,2,-32.65,27.19,0,0
0.8,c,1,-14.93,11.38,0,0
0.8,p,1,-0.76893,3.86688,0,0
0.8,p,2,2.06311,-3.99716,0,0
0.8,c,2,-32.5,27.08,0,0
0.88,c,1,-14.83,11.29,0,0
0.88,p,1,-0.68982,3.97524,0,0
0.88,p,2,1.9583,-3.91826,0,0
0.88,c,2,-32.46,27.06,0,0
0.96,c,1,-14.78,11.23,0,0
0.96,p,1,-0.62706,4.04914,0,0
0.96,p,2,1.85476,-3.83352,0,0
0.96,c,2,-32.29,26.97,0,0
1.04,c,1,-14.59,11.1,0,0
1.04,p,1,-0.56628,4.10005,0,0
1.04,p,2,1.75206,-3.7457,0,0
1.04,c,2,-32.08,26.84,0,0
1.12,c,1,-14.47,10.99,0,0
1.12,p,1,-0.51971,4.11488,0,0
1.12,p,2,1.65773,-3.6604,0,0
1.12,c,2,-31.95,26.75,0,0
1.2,c,1,-14.34,10.89,0,0
1.2,p,1,-0.39242,4.21719,0,0
1.2,p,2,1.57066,-3.56623,0,0
1.2,c,2,-31.77,26.64,0,0
1.28,c,1,-14.16,10.75,0,0
1.28,p,1,-0.26168,4.32643,0,0
1.28,p,2,1.48641,-3.45949,0,0
1.28,c,2,-31.63,26.59,0,0
1.36,c,1,-14.03,10.62,0,0
1.36,p,1,-0.12879,4.43823,0,0
1.36,p,2,1.40225,-3.34125,0,0
1.36,c,2,-31.61,26.28,0,0
1.44,c,1,-13.71,10.42,0,0
1.44,p,1,-0.01578,4.53314,0,0
1.44,p,2,1.32033,-3.21298,0,0
1.44,c,2,-31.5,26.17,0,0
1.52,c,1,-13.64,10.34,0,0
1.52,p,1,0.08706,4.62953,0,0
1.52,p,2,1.23298,-3.08666,0,0
1.52,c,2,-31.32,26.05,0,0
1.6,c,1,-13.45,10.21,0,0
1.6,p,1,0.17258,4.72567,0,0
1.6,p,2,1.13197,-2.98925,0,0
1.6,c,2,-31.18,25.98,0,0
1.68,c,1,-13.31,10.05,0,0
1.68,p,1,0.24985,4.83162,0,0
1.68,p,2,1.01972,-2.90683,0,0
1.68,c,2,-31.02,25.88,0,0
1.76,c,1,-13.18,9.95,0,0
1.76,p,1,0.31674,4.92822,0,0
1.76,p,2,0.90433,-2.83427,0,0
1.76,c,2,-30.81,25.75,0,0
1.84,c,1,-13.03,9.82,0,0
1.84,p,1,0.38829,5.02346,0,0
1.84,p,2,0.78863,-2.7693,0,0
1.84,c,2,-30.63,25.66,0,0
1.92,c,1,-12.94,9.74,0,0
1.92,p,1,0.45267,5.10752,0,0
1.92,p,2,0.68045,-2.70577,0,0
1.92,c,2,-30.49,25.54,0,0
2,c,1,-12.83,9.61,0,0
2,p,1,0.54361,5.21801,0,0
2,p,2,0.58031,-2.63203,0,0
2,c,2,-30.33,25.38,0,0
